No | KKKS | NDP | Tender Title | Expected Invitation Date | Currency | Estimated Value | Minimum TKDN
344 | PERTAMINA EP, PT | A043-25-A-070034 | Jasa Penggunaan Demulsifier Di Wilayah PT. Pertamina EP Zona 7 Oil & Gas Transportation Field | April 2026 | IDR | 28154856291 | 60
345 | PERTAMINA EP, PT | A043-25-A-070059 | Penyediaan Jasa Tenaga Bantu RAM Elektrik, Instrumen, Utilities, WTP/WPS, Administrasi, Medical, dan HSSE Inspeksi di PT Pertamina EP Zona 7 Jatibarang Field | Agustus 2026 | IDR | 43123814372 | 90
346 | PERTAMINA EP, PT | A043-25-A-070060 | Penyediaan Jasa Tenaga Bantu RAM Pemeliharaan Alat-Alat Kendaraan di PT Pertamina EP Zona 7 Jatibarang Field | Agustus 2026 | IDR | 45320515883 | 90
347 | PERTAMINA EP, PT | A043-25-A-070069 | Drilling Fluid Services | Januari 2026 | USD | 788966 | 41
348 | PERTAMINA EP, PT | A043-25-A-070074 | LWD & MWD Services | Januari 2026 | USD | 572179 | 54
349 | PERTAMINA EP, PT | A043-26-A-070001 | Jasa Pembabatan Rumput Dan Penanganan Area Bekas Tumpahan Minyak Dengan Metoda Call Off Order Di Area Onshore PT Pertamina EP Jatibarang Field | Maret 2026 | IDR | 12815393535 | 80
350 | PERTAMINA EP, PT | A043-26-A-070002 | Pekerjaan Perawatan dan Modifikasi Piping, Jalur Pipa dan Tanki di PT Pertamina EP Regional 2 Zona 7 Oil | Februari 2026 | IDR | 42782848300 | 75
351 | PERTAMINA EP, PT | A043-25-B-070119 | Penyediaan Jasa Manajemen Proyek dan Konstruksi Operation and Surface Facilities Zona 7 | Juni 2026 | IDR | 72975482000 | 90
352 | PERTAMINA EP, PT | A043-25-B-070120 | Pekerjaan Jasa Lumpur Pemboran Lengkap dengan Peralatan, Material, dan Personel untuk Wilayah Jatibarang PT Pertamina EP Zona 7 | Maret 2026 | USD | 4950000 | 50
353 | PERTAMINA EP, PT | A043-25-B-070122 | Pekerjaan Penyediaan Jasa Bit Rental di Sumur-Sumur Pemboran PT Pertamina EP Regional 2 Zona 7 Dengan Metode Technical Framework Contract | Maret 2026 | USD | 4500000 | 40
354 | PERTAMINA EP, PT | A043-25-B-070124 | COO 2 Tahun Pipa Seamless 80 di Zona 7 | Juli 2026 | IDR | 50000000000 | 40
355 | PERTAMINA EP, PT | A043-25-B-070126 | Jasa Operation & Maintenance Stasiun Pengumpul Akasia Bagus (SP ABG) PT Pertamina EP Jatibarang Field | Januari 2026 | IDR | 25000000000 | 75
356 | PERTAMINA EP, PT | A043-25-B-070127 | Jasa Sewa Early Production Facilities (EPF) area Zona 7 di PT Pertamina EP | Januari 2026 | IDR | 31000000000 | 75
357 | PERTAMINA EP, PT | A043-25-B-070129 | Pekerjaan Sewa Layanan Local Area Network di Zona 7 | April 2026 | IDR | 38142046439 | 60
358 | PERTAMINA EP, PT | A043-25-B-510043 | Pengadaan Casing 13Cr untuk Sumur Pemboran di PT Pertamina EP Zona 7 | Juli 2026 | USD | 4000000 | 25
359 | PERTAMINA EP, PT | A043-25-B-510044 | Pengadaan Tubing High Grade untuk Sumur Pemboran di PT Pertamina EP Zona 7 | Agustus 2026 | USD | 4000000 | 25
360 | PERTAMINA EP, PT | A043-25-B-510045 | Pengadaan Casing 20" untuk Sumur BBG-001 Zona 7 | Maret 2026 | IDR | 10000000000 | 25
361 | PERTAMINA EP, PT | A043-25-B-510047 | Pengadaan Layanan Unified Support Microsoft | Agustus 2026 | IDR | 8543052000 | 15
362 | PERTAMINA EP, PT | A043-25-B-510048 | Pekerjaan Jasa Penyemenan dan Pemompaan Lengkap dengan Peralatan, Material, dan Personel untuk Pengeboran Wilayah Subang Tambun Jatibarang PT Pertamina EP Zona 7 | April 2026 | USD | 4962560 | 55
363 | PERTAMINA EP, PT | A043-26-A-040034 | MSA Penyediaan Rental Bit Drilling Zona 4 | April 2026 | USD | 4993780 | 50
364 | PERTAMINA EP, PT | A043-26-A-040035 | Jasa Penyediaan Software Drilling Zona 4 | April 2026 | IDR | 7500000000 | 15
365 | PERTAMINA EP, PT | A043-26-A-040036 | PENYEDIAAN JASA TENAGA KERJA PENUNJANG UNTUK MEMBANTU PEKERJAAN OPERASIONAL WELL SERVICES PT PERTAMINA ZONA 4 PRABUMULIH FIELD | April 2026 | IDR | 35190858436 | 90
366 | PERTAMINA EP, PT | A043-26-A-040037 | CALL OF ORDER (COO) MATERIAL BATU UNTUK PERBAIKAN / PEMELIHARAAN PERKERASAN JALAN DAN LOKASI AREA PENDOPO, BENAKAT TIMUR, BENAKAT BARAT, TALANG AKAR DAN BETUNG DI PT PERTAMINA EP PENDOPO FIELD ZONA 4 | April 2026 | IDR | 13915750000 | 25
367 | PERTAMINA EP, PT | A043-26-A-040038 | Jasa Sewa Water Treatment Plant (WTP) Package Kapasitas 5000 BWPD di Struktur Benuang Adera Field - Zona 4 PT. Pertamina EP | Februari 2026 | IDR | 17438930000 | 60
368 | PERTAMINA EP, PT | A043-26-A-040039 | JASA PERBAIKAN CONTROL VALVE DI PT. PERTAMINA EP ZONA 4 | Februari 2026 | IDR | 15058306002 | 45
369 | PERTAMINA EP, PT | A043-26-A-040040 | JASA PEKERJAAN RISK BASED INSPECTION (RBI) FASILITAS PRODUKSI SECARA COO PT PERTAMINA EP ZONA 4 | Maret 2026 | IDR | 24406900000 | 75
370 | PERTAMINA EP, PT | A043-26-A-040041 | PEKERJAAN ASSESMENT PIPA SECARA COO PT PERTAMINA EP ZONA 4 | Maret 2026 | IDR | 18420375000 | 90
371 | PERTAMINA EP, PT | A043-26-A-040042 | JASA SEWA FIRE & GAS DETECTOR SELAMA 2 (DUA) TAHUN SECARA CALL OFF ORDER (COO) UNTUK FASILITAS PRODUKSI DI PERTAMINA HULU ROKAN REGIONAL 1 ZONA 4 | April 2026 | IDR | 49864800000 | 55
372 | PERTAMINA EP, PT | A043-26-A-040043 | PEMELIHARAAN SIPIL FASILITAS PRODUKSI STASIUN PENGUMPUL DAN STASIUN KOMPRESSOR GAS DI PT PERTAMINA EP LIMAU FIELD | April 2026 | IDR | 9617713208 | 40
373 | PERTAMINA EP, PT | A043-26-A-040044 | JASA SUPPORT OPERASIONAL HSSE DAN OIL PRODUCTION PRABUMULIH FIELD | April 2026 | IDR | 8087335688 | 90
374 | PERTAMINA EP, PT | A043-26-A-040045 | Sewa vacuum Truck untuk Kegiatan Pemboran di Wilayah Kerja Zona 4 dengan sistem Call of Order (COO) Selama 1 Tahun | Februari 2026 | IDR | 14965600000 | 80
375 | PERTAMINA EP, PT | A043-26-A-040046 | PENYEDIAAN JASA ENGINEERING SURFACE FACILITIES PT PERTAMINA EP ZONA 4 | April 2026 | IDR | 49500000000 | 90
376 | PERTAMINA EP, PT | A043-25-A-070085 | Jasa Pengoperasian dan Pemeliharaan Stasiun Pengumpul Akasia Bagus (SP ABG) PT Pertamina EP Jatibarang Field | Februari 2026 | IDR | 70000000000 | 75
377 | PERTAMINA EP, PT | A043-25-A-070099 | Processing Fee Gas Dryer Di Area Lapangan Field Jatibarang | Februari 2026 | IDR | 49618378722 | 75
378 | PERTAMINA EP, PT | A043-25-A-070105 | Jasa Pemasangan Wellhead Type SOL dan Pengelasan untuk Pemboran di PT Pertamina EP Zona 7 | Februari 2026 | IDR | 8000000000 | 75
379 | PERTAMINA EP, PT | A043-25-A-070111 | PENGADAAN DAN INSTALASI PIG LAUNCHER & PIG RECEIVER PACKAGE LAPANGAN AKASIA BAGUS DI FIELD JATIBARANG | Februari 2026 | IDR | 13600000000 | 25
380 | PERTAMINA EP, PT | A043-25-A-070113 | PENYEDIAAN MATERIAL DAN JASA PEMASANGAN ONSHORE PIPING MATERIAL STAINLESS STEEL DI FIELD SUBANG, FIELD TAMBUN DAN FIELD JATIBARANG | Januari 2026 | IDR | 49980000000 | 33
381 | PERTAMINA EP, PT | A043-25-A-510014 | Jasa Manajemen Pengamanan Kantor Pusat PT Pertamina EP | April 2026 | IDR | 46112410187 | 90
382 | PERTAMINA EP, PT | A043-25-A-510017 | JASA LAYANAN IP TELEPHONY | Mei 2026 | IDR | 17139226400 | 60
383 | PERTAMINA EP, PT | A043-25-A-510021 | Kontrak Bersama Jasa Verifikasi TKDN | Februari 2026 | IDR | 50336166050 | 90
384 | PERTAMINA EP, PT | A043-25-A-510027 | PENYEDIAAN JASA EVENT ORGANIZER FUNGSI-FUNGSI DI KANTOR PUSAT | Maret 2026 | IDR | 47000000000 | 60
385 | PERTAMINA EP, PT | A043-25-A-510028 | PENYEDIAAN JASA EVENT ORGANIZER FUNGSI-FUNGSI DI UNIT BISNIS DAN REGIONAL 2 | Januari 2026 | IDR | 47000000000 | 60
386 | PERTAMINA EP, PT | A043-25-A-510035 | Pengadaan Tubing 13Cr untuk Sumur Pemboran di PT Pertamina EP Zona 7 | Juni 2026 | USD | 3000000 | 25
387 | PERTAMINA EP, PT | A043-25-A-510036 | Pengadaan Casing 13Cr untuk Sumur Pemboran di PT Pertamina EP Zona 7 | Juni 2026 | USD | 3000000 | 25
388 | PERTAMINA EP, PT | A043-26-A-070003 | Pekerjaan Analisa Resiko, Reverse Engineering (RE), Residual Life Asssessment (RLA) Inspeksi Teknis Dan Penerbitan Sertifikasi Peralatan Serta Instalasi Fasilitas Produksi Di PT. Pertamina EP Zona 7 Jatibarang Field dan OGT Field | Februari 2026 | IDR | 46122100030 | 90
389 | PERTAMINA EP, PT | A043-26-A-070004 | Pekerjaan Jasa Lumpur Pemboran Lengkap dengan Peralatan, Material, dan Personel untuk Wilayah Subang dan Tambun PT Pertamina EP Zona 7 | Maret 2026 | USD | 4950200 | 50
390 | PERTAMINA EP, PT | A043-26-A-070005 | Pengadaan Jasa Tenaga Penunjang Pengeboran di Wilayah Kerja PT Pertamina EP Zona 7 | Mei 2026 | IDR | 45000000000 | 90
391 | PERTAMINA EP, PT | A043-26-A-070006 | Pengadaan Jasa Tenaga Spesialist dan QAQC untuk Mendukung Kegiatan Pengeboran di Wilayah Kerja PT Pertamina EP Zona 7 | Mei 2026 | IDR | 50000000000 | 90
392 | PERTAMINA EP, PT | A043-26-A-070007 | Penyediaan Material dan Jasa Instalasi Intelligent Lower Completion di Wilayah Kerja PT Pertamina EP Zona 7 | April 2026 | USD | 4700000 | 10
393 | PERTAMINA EP, PT | A043-26-A-070008 | Penyediaan Jasa Casing Run Tool Untuk Mendukung Pengeboran Di Wilayah Field Jatibarang Zona 7 | Agustus 2026 | IDR | 49500000000 | 55
394 | PERTAMINA EP, PT | A043-26-A-070009 | Penyediaan Jasa Studi Advance Geomechanic Lengkap dengan Peralatan dan Tenaga Ahli untuk PT Pertamina EP Zona 7 | Juli 2026 | USD | 3500000 | 55
395 | PERTAMINA EP, PT | A043-26-A-070010 | PENYEDIAAN JASA PERALATAN SLICKLINE LENGKAP DENGAN TENAGA KERJA UNTUK PEKERJAAN PEMBORAN DI PT PERTAMINA EP ZONA 7 | Agustus 2026 | IDR | 14742000000 | 75
396 | PERTAMINA EP, PT | A043-26-A-070011 | PENYEDIAAN JASA MANAGED PRESSURE DRILLING UNTUK SUMUR PEMBORAN DI WILAYAH KERJA PT PERTAMINA EP ZONA 7 | Oktober 2026 | IDR | 29286852148 | 60
397 | PERTAMINA EP, PT | A043-26-A-070012 | Penyediaan Jasa Under Balanced Drilling Untuk Sumur Pemboran di Wilayah Kerja PT Pertamina EP Zona 7 | Mei 2026 | USD | 4628175 | 60
398 | PERTAMINA EP, PT | A043-26-A-070013 | Wellbore Cleanout Services for PT Pertamina EP Zona 7 | April 2026 | USD | 252000 | 60
399 | PERTAMINA EP, PT | A043-26-A-070014 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Januari 2026 | USD | 4737927 | 75
400 | PERTAMINA EP, PT | A043-25-B-510049 | Jasa Layanan Platform Data dan Aplikasi Upstream | Juli 2026 | IDR | 18146396123 | 65
401 | PERTAMINA EP, PT | A043-25-B-510050 | JASA ASSESMEN TEKNIS FLOW QUANTITY ASSURANCE (FQA) DAN KONSULTANSI TEKNIS PRODUCTION & OPERATIONS PT PERTAMINA EP | Februari 2026 | IDR | 17038290000 | 90
402 | PERTAMINA EP, PT | A043-25-B-510055 | PEKERJAAN PENGADAAN, PEMELIHARAAN SOFTWARE GEOLOGIX DAN SEWA WELLXP UNTUK OPERASI PEMBORAN REGIONAL 2 PERIODE 2025 – 2028 | Juli 2026 | USD | 659810 | 15
403 | PERTAMINA EP, PT | A043-25-B-070132 | PERAWATAN RUTIN DAN PERBAIKAN FASILITAS JALUR PIPA SECARA CALL OF ORDER AREA JATIBARANG, RANDEGAN DAN BANGADUA DI PT PERTAMINA EP ZONA 7 JATIBARANG FIELD | Januari 2026 | IDR | 19913515054 | 85
404 | PERTAMINA EP, PT | A043-25-B-070140 | Jasa Pengangkutan Cairan Produksi Di Jatibarang Field | Maret 2026 | IDR | 15668538000 | 80
405 | PERTAMINA EP, PT | A043-25-B-510054 | Pengadaan Konsultan Komunikasi dan Media Regional 2 selama 2 tahun | Mei 2026 | IDR | 8020000000 | 75
406 | PERTAMINA EP, PT | A043-25-B-070141 | Jasa Analisa Biostratigrafi, Geokimia dan Core PT Pertamina EP Regional 2 Zona 7 | Mei 2026 | IDR | 47808346500 | 75
407 | PERTAMINA EP, PT | A043-25-B-510057 | Pengadaan Kontrak Call Off Order Potassium Chloride (KCl) di PT Pertamina EP Zona 7 | Januari 2026 | IDR | 56000000000 | 10
408 | PERTAMINA EP, PT | A043-25-B-070136 | PENYIAPAN LOKASI PEMBORAN DAN SIPIL FASILITAS PRODUKSI WILAYAH KABUPATEN SUBANG UNTUK MENUNJANG OPERASIONAL PT. PERTAMINA EP ZONA 7 SECARA CALL OF ORDER | Februari 2026 | IDR | 48000000000 | 85
409 | PERTAMINA EP, PT | A043-25-B-070137 | PENYIAPAN LOKASI PEMBORAN DAN SIPIL FASILITAS PRODUKSI WILAYAH KABUPATEN CIREBON DAN MAJALENGKA UNTUK MENUNJANG OPERASIONAL PT. PERTAMINA EP ZONA 7 SECARA CALL OF ORDER | April 2026 | IDR | 48000000000 | 85
410 | PERTAMINA EP, PT | A043-25-B-070138 | PELAPISAN GEOMEMBRANE HDPE UNTUK MENUNJANG SELURUH OPERASIONAL PEMBORAN PT PERTAMINA EP ZONA 7 SECARA CALL OF ORDER | Maret 2026 | IDR | 30000000000 | 46
411 | PERTAMINA EP, PT | A043-25-B-070139 | PENGADAAN AIR OPERASIONAL PEMBORAN PT PERTAMINA EP ZONA 7 | Maret 2026 | IDR | 36000000000 | 90
412 | PERTAMINA EP, PT | A043-26-A-040047 | JASA KONSTRUKSI PRESSURE VESSEL DI ZONA 4 | Februari 2026 | IDR | 49500000000 | 40
413 | PERTAMINA EP, PT | A043-26-A-500057 | Jasa Penyediaan dan Pengelolaan High Density Completion Fluid di PT Pertamina EP Zona 4 | Maret 2026 | IDR | 47093780000 | 35
414 | PERTAMINA EP, PT | A043-26-A-500058 | Jasa Penyediaan Completion Tools di PT Pertamina EP Zona 4 | Maret 2026 | USD | 4940723 | 10
415 | PERTAMINA EP, PT | A043-26-A-500061 | Jasa Modifikasi dan Instalasi Piping Line Stasiun Pengumpul Secara Call Off Order PT Pertamina EP Limau Field | Maret 2026 | IDR | 14980777000 | 52
416 | PERTAMINA EP, PT | A043-26-A-500062 | Penyiapan Lokasi Berikut Sarana Penunjangnya Dan Penyediaan Alat Berat Serta Jasa Penunjang Lainnya Untuk Pengeboran Sumur Eksplorasi PT Pertamina EP Regional 1 dan PT Pertamina Hulu Energi Jambi Merang | Maret 2026 | IDR | 36932638000 | 80
417 | PERTAMINA EP, PT | A043-26-A-500063 | Penyiapan Lokasi Berikut Sarana Penunjangnya Dan Penyediaan Alat Berat Serta Jasa Penunjang Lainnya Untuk Pengeboran Sumur Eksplorasi PT Pertamina EP Regional 1 dan PT Pertamina Hulu Rokan | Februari 2026 | IDR | 37596349000 | 80
418 | PERTAMINA EP, PT | A043-26-A-500064 | Pekerjaan Jasa Penyemenan, Stimulasi, Pemompaan dan Fracturing Lengkap Dengan Peralatan, Material, dan Personel Untuk Pengeboran Dan Workover di Wilayah PT Pertamina EP Zona 1 | Maret 2026 | IDR | 74620872529 | 55
419 | PERTAMINA EP, PT | A043-26-A-500065 | Jasa Penyemenan dan Pemompaan Asam di Wilayah Utara (Field Rantau dan Field Pangkalan Susu) dan Wilayah Selatan (Field Jambi Dan Field Lirik) PT Pertamina EP Zona 1 | Februari 2026 | IDR | 73291710280 | 55
420 | PERTAMINA EP, PT | A043-26-A-500066 | Pekerjaan Jasa Penyemenan, Stimulasi, Pemompaan & Fracturing di Wilayah | April 2026 | IDR | 73021230950 | 55
421 | PERTAMINA EP, PT | A043-26-A-500067 | Pekerjaan Jasa Penyemenan, Stimulasi, Pemompaan & Fracturing di Wilayah Field Pendopo, Adera & Ramba PT Pertamina EP Zona 4 | Juli 2026 | IDR | 73051860480 | 55
422 | PERTAMINA EP, PT | A043-26-A-TL0001 | PENGADAAN CASING 13.3/8 INCH LOW GRADE UNTUK KEBUTUHAN REGIONAL 1 MELALUI TFC | Juni 2026 | USD | 4800000 | 25
423 | PERTAMINA EP, PT | A043-26-A-TL0002 | PENGADAAN CASING 9.5/8 INCH LOW GRADE UNTUK KEBUTUHAN REGIONAL 1 MELALUI TFC | Juni 2026 | USD | 4900000 | 25
424 | PERTAMINA EP, PT | A043-26-A-070015 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Februari 2026 | USD | 4153100 | 75
425 | PERTAMINA EP, PT | A043-26-A-070016 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Maret 2026 | USD | 4480417 | 75
426 | PERTAMINA EP, PT | A043-26-A-070017 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | April 2026 | USD | 4437088 | 75
427 | PERTAMINA EP, PT | A043-26-A-070018 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Mei 2026 | USD | 3797339 | 75
428 | PERTAMINA EP, PT | A043-26-A-070019 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Juni 2026 | USD | 4133343 | 75
429 | PERTAMINA EP, PT | A043-26-A-070020 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well | Juli 2026 | USD | 4110657 | 75
430 | PERTAMINA EP, PT | A043-26-A-070021 | RO PA 4650016986 - Jasa Penyediaan dan Pengoperasian Rig untuk Pemboran, Workover dan Well Services di Subholding Upstream | Agustus 2026 | USD | 4737927 | 75
431 | PERTAMINA EP, PT | A043-26-A-070022 | Jasa Pemancingan di Sumur-Sumur PT Pertamina EP Zona 7 | Maret 2026 | IDR | 50000000000 | 60
432 | PERTAMINA EP, PT | A043-26-A-070023 | Jasa Sewa Unit Perangkat Rig 550 HP untuk Pekerjaan Well Intervention dan Well Services di PT Pertamina EP Zona 7 Subang Field dan Tambun Field | Juli 2026 | IDR | 50000000000 | 80
433 | PERTAMINA EP, PT | A043-26-A-070024 | Jasa Sewa Unit Perangkat Rig 550 HP untuk Pekerjaan Workover dan Well Intervention di PT Pertamina EP Zona 7 Jatibarang Field | Juli 2026 | IDR | 50000000000 | 80
434 | PERTAMINA EP, PT | A043-26-A-070025 | SEWA DAN PENGOPERASIAN MINI GAS COMPRESSOR UNTUK KEBUTUHAN OPERASIONAL LAPANGAN ONSHORE DI PT PERTAMINA EP REGIONAL 2 ZONA 7 TAMBUN FIELD | Juli 2026 | IDR | 16834400000 | 75
435 | PERTAMINA EP, PT | A043-25-B-510051 | Pekerjaan Jasa Lumpur Pemboran Lengkap dengan Peralatan, Material, dan Personel untuk Wilayah Jatibarang Zona 7 PT Pertamina EP | Maret 2026 | USD | 4950164 | 50
436 | PERTAMINA EP, PT | A043-25-B-510056 | Jasa Pengembangan, Pemeliharaan dan Dukungan Aplikasi non- ERP | Januari 2026 | IDR | 23767495129 | 90
437 | PERTAMINA EP, PT | A043-25-B-070154 | Sand Control Treatment Services | April 2026 | IDR | 6000000000 | 55
438 | PERTAMINA EP, PT | A043-25-B-510058 | Pengadaan Jasa Sewa Gedung | Februari 2026 | IDR | 23171989028 | 90
439 | PERTAMINA EP, PT | A043-26-A-TL0003 | PENGADAAN CASING 7 INCH LOW GRADE UNTUK KEBUTUHAN REGIONAL 1 MELALUI TFC | Juni 2026 | USD | 4850000 | 25
440 | PERTAMINA EP, PT | A043-26-A-500005 | PENGADAAN TUBING UNTUK KEBUTUHAN | Juni 2026 | USD | 4900000 | 25
441 | PERTAMINA EP, PT | A043-26-A-500006 | COO GASKET 3 YEARS - KONTRAK BERSAMA PHR REGIONAL 1 - PEP, PHE, ROKAN | Mei 2026 | IDR | 53000000000 | 25
442 | PERTAMINA EP, PT | A043-26-A-500007 | COO GASKET RING JOINT 3 YEARS - KONTRAK BERSAMA PHR REGIONAL 1 - PEP, PHE, ROKAN | Mei 2026 | IDR | 5331900000 | 25
443 | PERTAMINA EP, PT | A043-26-A-500008 | COO STUD BOLT 3 YEARS - KONTRAK BERSAMA PHR REGIONAL 1 - PEP, PHE, ROKAN | Mei 2026 | IDR | 73000000000 | 25
444 | PERTAMINA EP, PT | A043-26-A-500009 | PENGADAAN PIPA ERW 3 IN SCH 40 SECARA CALL OF ORDER | Maret 2026 | IDR | 74300000000 | 40
445 | PERTAMINA EP, PT | A043-26-A-500010 | PENGADAAN WELLHEAD DAN XMASTREE CLASS CC DAN DUAL COMPLETION REGIONAL 1 | Maret 2026 | IDR | 70000000000 | 25
446 | PERTAMINA EP, PT | A043-26-A-500011 | Jasa Dukungan Pemenuhan Kewajiban Rehabilitasi DAS PPKH di Regional 1 | Maret 2026 | IDR | 30713725000 | 80
447 | PERTAMINA EP, PT | A043-26-A-500012 | Jasa Layanan Dukungan Aplikasi ERP | Maret 2026 | IDR | 17662873451 | 90
448 | PERTAMINA EP, PT | A043-26-A-500013 | Pengadaan Jasa konsultan IT PGS | Februari 2026 | IDR | 6258920623 | 90
449 | PERTAMINA EP, PT | A043-25-B-070133 | Jasa Perbaikan, Perawatan, Pemasangan dan Penggantian AC (Air Conditioner) di Fasilitas Umum PT Pertamina EP Zona 7 | April 2026 | IDR | 16445368875 | 28
450 | PERTAMINA EP, PT | A043-25-A-090142 | Jasa Penyediaan Pelayanan Tiket dan Akomodasi | Januari 2026 | IDR | 16800000000 | 70
451 | PERTAMINA EP, PT | A043-25-A-090146 | Jasa Penyediaan Tenaga Pengamanan Fungsi HSSE PT Pertamina EP Tanjung Field | Januari 2026 | IDR | 49201707310 | 90
452 | PERTAMINA EP, PT | A043-25-A-090156 | Jasa Konstruksi Sipil Project Area Sangasanga dan Sangatta (II) | Januari 2026 | IDR | 15000000000 | 80
453 | PERTAMINA EP, PT | A043-25-A-090157 | Kontrak Bersama Instrument PEP | Januari 2026 | IDR | 8000000000 | 60
454 | PERTAMINA EP, PT | A043-25-A-090158 | Jasa Penyediaan Sewa Alat Angkat & Alat Angkut Beserta | Januari 2026 | IDR | 37511923556 | 80
455 | PERTAMINA EP, PT | A043-25-A-090160 | Fracturing Services | Januari 2026 | USD | 3000000 | 50
456 | PERTAMINA EP, PT | A043-25-A-090172 | Pekerjaan Perbaikan dan Rekondisi Peralatan Beam Pumping Unit Sangasanga Field Region 3 Zona 9 | Januari 2026 | IDR | 9500000000 | 45
457 | PERTAMINA EP, PT | A043-25-A-090179 | Jasa Pekerjaan DST & Production Testing Sumur Pengeboran Eksplorasi | Januari 2026 | IDR | 48550000000 | 55
458 | PERTAMINA EP, PT | A043-26-A-500014 | JASA-JASA PENGAMANAN KANTOR PUSAT, PERUMAHAN DAN GUDANG DI WILAYAH JAKARTA DAN SEKITARNYA | September 2026 | IDR | 39294396207 | 75
459 | PERTAMINA EP, PT | A043-26-A-500015 | JASA PENYEDIAAN PEKERJAAN PENGAMANAN PEMBORAN EKSPLORASI REGIONAL 1 SUMATERA | Maret 2026 | IDR | 8736235678 | 75
460 | PERTAMINA EP, PT | A043-26-A-500016 | Contract Property Consultant for Design Interior, Project Management, Mechanical Eelctrical Plumbing (MEP) and Quantity Surveyor Services | Maret 2026 | IDR | 4576910000 | 80
461 | PERTAMINA EP, PT | A043-26-A-500017 | Perpanjangan Perjanjian Sewa Menyewa Lantai 10 | Juli 2026 | IDR | 13273631674 | 80
462 | PERTAMINA EP, PT | A043-26-A-070026 | Pekerjaan Analisa Resiko, Reverse Engineering (RE), Residual Life Asssessment (RLA) Inspeksi Teknis Dan Penerbitan Sertifikasi Peralatan Serta Instalasi Fasilitas Produksi Di PT. Pertamina EP Zona 7 Subang Field dan Tambun Field | September 2026 | IDR | 24912650660 | 90
463 | PERTAMINA EP, PT | A043-26-A-070027 | JASA PEMELIHARAAN ROTATING EQUIPMENT SECARA CALL OF ORDER DI PERTAMINA EP REGIONAL 2 ZONA 7 SUBANG FIELD | Januari 2026 | IDR | 11358663000 | 60
464 | PERTAMINA EP, PT | A043-26-A-070028 | Penyadiaan Jasa Pekerjaan Pengamanan di Head Office dan Fasilitas Penunjang PT Pertamina EP Regional 2 Zona 7 | September 2026 | IDR | 20818818091 | 90
465 | PERTAMINA EP, PT | A043-26-A-070029 | Pekerjaan Penyediaan Jasa Tenaga Kerja Bantu Pengamanan (Security) di PT Pertamina EP Regonal 2 Zona 7 OGT Field | September 2026 | IDR | 31457609796 | 90
466 | PERTAMINA EP, PT | A043-26-A-070033 | PENYEDIAAN JASA TENAGA BANTU OPERASIONAL FUNGSI WELL SERVICES JATIBARANG FIELD | September 2026 | IDR | 12978153000 | 90
467 | PERTAMINA EP, PT | A043-26-A-070034 | Intelligent Lower Completion Equipment & Installation Services | Maret 2026 | USD | 635636 | 6
468 | PERTAMINA EP, PT | A043-26-A-070035 | Tubing Conveyed Perforating Services | Maret 2026 | USD | 119245 | 53
469 | PERTAMINA EP, PT | A043-26-A-510001 | JASA MANAJEMEN PROYEK & ASESMEN TEKNIS PLANNING, ENGINEERING, INTEGRITY, FACILITY MAINTENANCE DAN QA/QC - PT. PERTAMINA EP BLANKET ORDER 2026 | April 2026 | IDR | 47538600000 | 90
470 | PERTAMINA EP, PT | A043-26-A-510002 | Jasa Pengelolaan Limbah Cair pada Pemboran Eksplorasi, Project dan Eksploitasi di PT Pertamina EP Regional 2 Zona 7 | Juli 2026 | IDR | 67342200000 | 75
471 | PERTAMINA EP, PT | A043-25-A-090180 | Jasa Pekerjaan Electric Wireline Logging, Data Processing & Interpretation (EWLDPI) Sumur Pengeboran Eksplorasi | Januari 2026 | IDR | 47850000000 | 60
472 | PERTAMINA EP, PT | A043-25-A-090300 | Jasa Pengadaan Instrumentasi dan Control System Zona 9 | Januari 2026 | IDR | 19960000000 | 75
473 | PERTAMINA EP, PT | A043-25-A-100186 | Jasa Penyewaan Rig Workover/Well Services Dengan kapasitas minimum 350HP di Bunyu Field | Januari 2026 | IDR | 49000000000 | 80
474 | PERTAMINA EP, PT | A043-25-A-100188 | Jasa Katering dan Akomodasi untuk Area Sembakung di Pertamina EP Tarakan Field | Januari 2026 | IDR | 39722354792 | 70
475 | PERTAMINA EP, PT | A043-25-A-100199 | JASA PROFESIONAL PENDUKUNG SURFACE FACILITIES | Januari 2026 | IDR | 49500000000 | 90
